City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,kerikeri,-35.2268,173.9474,23.84,71,99,1.79,NZ,1702166579
247,hamilton,39.1834,-84.5333,14.84,94,100,4.12,US,1702166448
248,kourou,5.1552,-52.6478,26.03,86,24,2.58,GF,1702166579
249,cadale,2.7603,46.3222,26.64,80,7,6.8,SO,1702166579
250,weligama,5.9667,80.4167,24.38,90,100,1.61,LK,1702166579
251,hays,30.0502,-98.0336,18.27,47,0,6.26,US,1702166580
252,sivas,39.7916,37.0019,3.35,87,75,5.14,TR,1702166580
253,mili,6.0815,171.735,27.96,80,100,7.61,MH,1702166543
254,esmeralda,21.8525,-78.1169,25.09,72,77,4.69,CU,1702166580
255,kattivakkam,13.2167,80.3167,26.05,80,1,3.78,IN,1702166580
256,tual,-5.6667,132.75,27.81,80,100,6.52,ID,1702166580
257,tralee,52.2704,-9.7026,8.16,90,58,2.91,IE,1702166581
258,machico,32.7,-16.7667,20.35,80,75,3.6,PT,1702166581
259,saldanha,-33.0117,17.9442,14.03,84,0,8.03,ZA,1702166581
260,grand falls-windsor,48.9332,-55.6649,0.84,85,32,1.34,CA,1702166582
261,myrina,39.8797,25.0742,6.58,76,20,0.0,GR,1702166582
262,meizhou,24.2977,116.1072,20.32,82,0,0.62,CN,1702166582
263,la'ie,21.6477,-157.9253,28.66,67,0,2.24,US,1702166582
264,forster,-32.1667,152.5167,26.88,73,99,2.5,AU,1702166583
265,belyy yar,53.6039,91.3903,-31.06,69,82,0.0,RU,1702166583
266,mejit,10.2753,170.8646,27.42,80,91,8.64,MH,1702166583
267,san luis de la loma,17.2706,-100.8939,26.39,80,60,1.78,MX,1702166584
268,bonthe,7.5264,-12.505,26.64,86,43,2.9,SL,1702166584
269,klyuchi,52.2667,79.1667,-20.86,74,75,1.42,RU,1702166584
270,dapa,9.7594,126.0531,28.08,75,33,3.68,PH,1702166584
271,pacific grove,36.6177,-121.9166,18.26,60,63,4.47,US,1702166445
272,oranjemund,-28.55,16.4333,15.2,93,6,5.35,NA,1702166585
273,opuwo,-18.0607,13.84,21.84,37,15,3.24,NA,1702166585
274,padre bernardo,-15.35,-48.5,26.36,43,90,2.14,BR,1702166585
275,uturoa,-16.7333,-151.4333,27.32,78,74,7.08,PF,1702166585
276,tsiombe,-25.3,45.4833,21.59,83,0,1.3,MG,1702166586
277,arraial do cabo,-22.9661,-42.0278,23.21,73,100,3.63,BR,1702166586
278,codrington,-38.2667,141.9667,16.32,56,88,7.79,AU,1702166586
279,gunjur,13.2019,-16.7339,25.04,65,10,0.0,GM,1702166586
280,cabo san lucas,22.8909,-109.9124,26.45,54,0,1.84,MX,1702166323
281,shambu,9.5667,37.1,12.42,58,55,0.51,ET,1702166586
282,taltal,-25.4,-70.4833,18.54,81,25,2.65,CL,1702166587
283,bushehr,28.9684,50.8385,19.05,72,0,0.0,IR,1702166587
284,ust-tsilma,65.441,52.1498,-32.44,100,48,0.89,RU,1702166587
